Country,Amount (USD),Transaction Type,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Person Involved
India,3746204.26,Cash Withdrawal,Arms Trade,China,0,0,High,2,2936
UK,292201.88,Cash Withdrawal,Real Estate,UK,0,0,High,1,4033
UAE,2264995.48,Property Purchase,Casinos,Singapore,0,0,Low,0,2537
Russia,4688572.22,Cash Withdrawal,Finance,China,0,1,High,6,943
Switzerland,587176.94,Stocks Transfer,Real Estate,China,0,1,High,3,479
China,1724208.68,Property Purchase,Luxury Goods,South Africa,0,0,High,9,21
Singapore,84887.5,Property Purchase,Finance,South Africa,0,1,Low,2,7362
UAE,270522.18,Cash Withdrawal,Construction,China,0,1,Low,0,4829
Russia,1473321.9,Cash Withdrawal,Oil & Gas,South Africa,0,0,High,1,2327
South Africa,799056.64,Property Purchase,Real Estate,China,0,0,Low,9,9899
Switzerland,964719.84,Offshore Transfer,Construction,China,0,1,High,2,298
Brazil,917555.4,Stocks Transfer,Construction,India,0,0,Low,2,3863
South Africa,1980946.99,Cash Withdrawal,Arms Trade,Brazil,0,0,High,5,9641
China,3432916.9,Cryptocurrency,Casinos,China,0,0,High,7,892
Brazil,4295546.67,Cash Withdrawal,Oil & Gas,Singapore,0,1,High,0,8609
USA,1351396.96,Cryptocurrency,Casinos,China,1,1,High,9,592
Russia,65964.2,Property Purchase,Luxury Goods,Singapore,1,1,High,6,1172
Brazil,813473.99,Property Purchase,Oil & Gas,UK,0,1,Low,0,3900
South Africa,3970617.93,Offshore Transfer,Arms Trade,Russia,0,0,Low,2,1992
USA,1581520.6,Property Purchase,Oil & Gas,Russia,1,1,Low,6,5231
USA,1164391.12,Cryptocurrency,Luxury Goods,UAE,0,0,High,9,9220
USA,2177304.12,Stocks Transfer,Real Estate,Russia,0,0,High,9,6310
South Africa,2524958.98,Cash Withdrawal,Casinos,USA,0,0,Low,5,7570
Singapore,2311265.49,Property Purchase,Arms Trade,Russia,0,1,Low,4,6019
USA,4033119.74,Cash Withdrawal,Finance,UK,0,0,Low,3,9886
USA,1904412.45,Offshore Transfer,Arms Trade,India,0,0,High,0,9544
Brazil,2075346,Property Purchase,Real Estate,South Africa,0,0,High,4,1710
Russia,2952314.55,Offshore Transfer,Oil & Gas,Russia,0,0,Low,7,9460
Brazil,2053475.37,Cryptocurrency,Luxury Goods,Switzerland,1,0,High,1,5888
Switzerland,159132.31,Cash Withdrawal,Finance,South Africa,0,0,Low,9,7747
Russia,4717525.26,Offshore Transfer,Construction,Singapore,1,1,Low,1,4245
South Africa,1070754.78,Cryptocurrency,Oil & Gas,India,0,1,High,6,3517
South Africa,4342358.35,Property Purchase,Arms Trade,Russia,0,0,Low,6,3557
China,3372288.16,Cash Withdrawal,Finance,Brazil,1,1,Low,3,9513
UK,3458156.43,Stocks Transfer,Finance,Brazil,0,1,Low,1,2872
Switzerland,1511361.95,Offshore Transfer,Finance,India,0,0,Low,1,5913
Brazil,683434.13,Property Purchase,Finance,South Africa,0,0,Low,5,981
Switzerland,2794778.49,Cash Withdrawal,Finance,India,0,0,High,8,7103
India,2442766.01,Offshore Transfer,Real Estate,UAE,0,0,High,3,5722
UAE,4982819.16,Cryptocurrency,Oil & Gas,UAE,0,0,High,7,4157
UAE,235725.03,Stocks Transfer,Construction,UK,0,1,High,2,9236
UK,4909232.8,Property Purchase,Oil & Gas,Brazil,0,0,High,0,508
USA,241596.01,Cash Withdrawal,Finance,Switzerland,0,0,High,4,2786
Brazil,1585310.55,Stocks Transfer,Arms Trade,UK,0,0,Low,6,8997
Brazil,3788729.5,Offshore Transfer,Casinos,Switzerland,0,1,High,6,69
Switzerland,3558410.52,Offshore Transfer,Casinos,UK,0,0,High,1,7486
South Africa,3808337.89,Stocks Transfer,Oil & Gas,Brazil,0,0,High,6,4296
India,2599743.92,Stocks Transfer,Luxury Goods,Russia,0,1,Low,1,2439
USA,2801902.69,Property Purchase,Construction,USA,0,0,High,7,173
India,626582.52,Property Purchase,Casinos,Singapore,0,1,High,9,2660
Russia,4173901.17,Cryptocurrency,Luxury Goods,Switzerland,0,0,High,0,9354
India,2636848.58,Offshore Transfer,Finance,UAE,1,0,Low,9,7169
Brazil,2585900.06,Cryptocurrency,Oil & Gas,India,0,0,High,8,9009
Russia,305379.72,Offshore Transfer,Oil & Gas,Russia,0,1,Low,2,9788
USA,1890855.18,Cash Withdrawal,Real Estate,Switzerland,0,0,High,5,5611
Russia,2212450.54,Cryptocurrency,Luxury Goods,Switzerland,0,0,High,0,4479
Switzerland,2647815.21,Stocks Transfer,Construction,India,0,1,Low,3,4435
China,3892983.77,Offshore Transfer,Finance,India,1,0,Low,3,3189
India,1160839.81,Cryptocurrency,Finance,India,0,0,High,7,2291
Russia,3987347.96,Stocks Transfer,Arms Trade,South Africa,0,0,High,7,2910
UK,3530304.21,Offshore Transfer,Luxury Goods,USA,0,1,Low,9,4769
India,3736809.91,Cash Withdrawal,Arms Trade,UAE,0,0,Low,1,4542
China,2217803.6,Cash Withdrawal,Casinos,India,0,0,High,1,3226
Russia,316641.49,Cash Withdrawal,Construction,India,0,0,High,3,4798
Russia,979848.73,Stocks Transfer,Oil & Gas,Russia,1,0,High,9,4977
China,4335717.15,Cryptocurrency,Casinos,South Africa,1,0,High,2,9717
China,3944972.15,Offshore Transfer,Construction,UK,0,1,High,9,5533
South Africa,869588.7,Stocks Transfer,Luxury Goods,USA,0,0,High,5,661
Brazil,4904774.25,Property Purchase,Real Estate,South Africa,1,0,High,9,4795
China,2888191.42,Stocks Transfer,Arms Trade,Russia,0,1,High,8,3072
UAE,3599502.6,Offshore Transfer,Construction,Singapore,1,1,Low,9,2911
Brazil,2488024.31,Offshore Transfer,Construction,Switzerland,0,0,High,1,2000
Switzerland,4546033.57,Property Purchase,Arms Trade,India,0,0,High,8,4923
South Africa,511746.83,Property Purchase,Construction,South Africa,0,0,Low,5,6663
India,4706996.88,Cash Withdrawal,Finance,UK,1,1,High,8,1230
China,4408358.74,Offshore Transfer,Finance,USA,0,0,High,2,5656
Singapore,640092.13,Offshore Transfer,Real Estate,USA,0,1,Low,1,9769
Switzerland,2173854.25,Stocks Transfer,Arms Trade,Brazil,0,0,Low,6,5905
China,1701022.34,Cryptocurrency,Real Estate,USA,0,1,Low,6,8383
Switzerland,2938291.21,Property Purchase,Finance,Switzerland,0,0,High,3,1145
UAE,89483.03,Cash Withdrawal,Luxury Goods,UK,0,0,High,4,5295
USA,3002499.83,Property Purchase,Real Estate,USA,1,0,Low,7,7378
UAE,2837647,Stocks Transfer,Construction,India,0,0,Low,9,7432
USA,3336075.85,Property Purchase,Finance,India,0,1,High,0,8881
UK,2180248.9,Stocks Transfer,Real Estate,Singapore,1,0,High,7,8385
Switzerland,2759018.44,Cash Withdrawal,Oil & Gas,Brazil,0,0,High,0,239
China,313188.65,Offshore Transfer,Finance,Russia,0,0,High,4,2175
India,2476294.5,Property Purchase,Real Estate,USA,0,0,Low,9,3364
Russia,3402633.44,Property Purchase,Luxury Goods,Singapore,0,1,Low,5,5865
Singapore,3382689.34,Property Purchase,Construction,Russia,1,0,Low,1,5801
Singapore,3048535.35,Property Purchase,Arms Trade,USA,0,0,Low,4,206
South Africa,2267348.56,Offshore Transfer,Finance,China,0,0,Low,6,3663
Singapore,1119119.03,Property Purchase,Construction,UAE,0,0,Low,9,3060
UAE,3446563.68,Cryptocurrency,Construction,China,0,0,Low,5,1053
China,3277808.91,Offshore Transfer,Casinos,China,1,0,High,0,803
China,2106374.66,Stocks Transfer,Finance,UK,0,1,High,6,1488
China,870563.39,Stocks Transfer,Construction,USA,0,1,High,0,5997
Singapore,4101265.11,Cash Withdrawal,Luxury Goods,UAE,0,0,Low,6,7018
UAE,359089.23,Offshore Transfer,Oil & Gas,Switzerland,1,0,High,6,4929
Russia,4887537.3,Property Purchase,Casinos,Russia,0,1,High,1,9163
UAE,2773974.41,Stocks Transfer,Real Estate,Brazil,0,0,Low,0,4942
Russia,1314593.51,Stocks Transfer,Real Estate,UK,0,0,High,4,2712
South Africa,1109089.71,Cash Withdrawal,Finance,UK,0,1,Low,8,6013
South Africa,946205.85,Cash Withdrawal,Casinos,UK,0,0,Low,8,5803
India,4231632.38,Cash Withdrawal,Finance,UAE,0,0,High,2,4283
India,1794369.6,Cash Withdrawal,Construction,Switzerland,0,0,Low,1,3803
India,2848046.77,Cash Withdrawal,Finance,India,0,0,High,9,5397
UK,177312.49,Cryptocurrency,Construction,Singapore,0,0,High,0,9023
USA,413299.8,Cash Withdrawal,Real Estate,Singapore,0,1,Low,3,4019
UK,1014299.28,Cryptocurrency,Casinos,India,0,0,High,1,555
UAE,3868014.29,Cash Withdrawal,Construction,Singapore,0,1,Low,2,9297
South Africa,1462085.24,Property Purchase,Real Estate,Singapore,0,0,High,6,3690
China,3257364.86,Property Purchase,Real Estate,Brazil,0,1,High,1,1354
China,4870071.13,Stocks Transfer,Finance,South Africa,0,0,High,3,2600
Russia,3678440.98,Stocks Transfer,Luxury Goods,Singapore,0,0,High,1,226
Switzerland,4629993.51,Stocks Transfer,Real Estate,USA,0,0,High,1,6505
Switzerland,4390545.99,Cash Withdrawal,Arms Trade,India,0,1,High,6,3320
USA,317657.85,Stocks Transfer,Real Estate,USA,0,0,High,9,2341
China,3202900.8,Property Purchase,Arms Trade,USA,1,0,High,5,5022
Russia,3494363.16,Property Purchase,Luxury Goods,UAE,0,1,High,9,3531
Russia,246106.25,Cash Withdrawal,Real Estate,South Africa,0,0,Low,3,2686
Switzerland,1658946.44,Property Purchase,Finance,UK,1,0,Low,3,3815
UK,1202908.98,Offshore Transfer,Oil & Gas,USA,1,0,Low,7,881
China,2658981.3,Property Purchase,Real Estate,Brazil,0,1,Low,3,2334
Singapore,1799638.53,Offshore Transfer,Oil & Gas,USA,0,0,Low,0,6948
Switzerland,4502528.46,Cryptocurrency,Oil & Gas,South Africa,0,0,High,0,736
Switzerland,2946942.88,Cryptocurrency,Arms Trade,South Africa,0,1,High,6,7565
South Africa,4479438.47,Cash Withdrawal,Oil & Gas,Russia,0,0,High,0,4324
India,3014579.45,Stocks Transfer,Luxury Goods,Brazil,0,0,High,9,8641
China,3811305.96,Cash Withdrawal,Finance,UK,0,0,High,1,2480
UAE,1886919.01,Cryptocurrency,Arms Trade,USA,0,1,Low,5,2642
South Africa,1443373.64,Cash Withdrawal,Oil & Gas,Russia,0,0,Low,9,8068
Singapore,3826209.27,Cryptocurrency,Real Estate,UAE,0,1,High,1,7224
South Africa,4488441.73,Offshore Transfer,Oil & Gas,China,0,0,Low,9,9862
India,3911812.32,Offshore Transfer,Arms Trade,UAE,0,0,High,4,6027
UK,1132897.25,Cash Withdrawal,Oil & Gas,Switzerland,0,0,High,7,6
Brazil,1020317.92,Property Purchase,Casinos,UAE,0,1,Low,5,9606
UK,1691263.62,Cash Withdrawal,Oil & Gas,Brazil,1,0,Low,3,4131
UAE,1319823.16,Cash Withdrawal,Finance,USA,0,0,High,7,7143
India,3302534.62,Offshore Transfer,Oil & Gas,USA,0,1,High,2,6582
China,3622446.86,Property Purchase,Construction,China,0,0,High,6,9659
India,3769235.09,Property Purchase,Finance,Brazil,1,0,High,9,9923
China,4965901.35,Property Purchase,Finance,Singapore,1,0,Low,3,1787
India,2849529.15,Offshore Transfer,Luxury Goods,Singapore,0,0,Low,6,2820
India,3613991.71,Offshore Transfer,Construction,UAE,0,1,Low,8,3964
UAE,778743.46,Cryptocurrency,Arms Trade,Switzerland,0,1,Low,4,5228
UAE,1300982.87,Property Purchase,Casinos,Singapore,1,1,Low,3,6606
Brazil,2553938.27,Cash Withdrawal,Finance,USA,0,1,High,8,410
China,1537624.47,Cryptocurrency,Arms Trade,USA,0,1,High,8,8177
Singapore,593462.05,Stocks Transfer,Oil & Gas,UAE,0,0,Low,0,9423
Brazil,2269431.99,Stocks Transfer,Construction,Switzerland,0,1,High,4,3564
Russia,3144912.5,Offshore Transfer,Real Estate,Singapore,0,0,High,2,2048
Russia,2156079.14,Property Purchase,Finance,UK,1,1,Low,1,6558
Singapore,3070362.24,Property Purchase,Construction,India,0,1,Low,5,1994
Singapore,2081869.69,Stocks Transfer,Luxury Goods,UK,0,0,Low,5,7847
UK,2456026.86,Cryptocurrency,Luxury Goods,Russia,0,0,High,9,163
India,426228.02,Cash Withdrawal,Finance,UAE,0,1,Low,3,9931
South Africa,4832212.97,Stocks Transfer,Luxury Goods,South Africa,1,0,High,7,7630
Russia,2795111.8,Property Purchase,Finance,Brazil,0,0,High,7,8403
Singapore,2661966.46,Stocks Transfer,Finance,India,1,0,Low,9,7642
China,47403.13,Offshore Transfer,Oil & Gas,South Africa,0,0,Low,7,6517
Singapore,3741232.11,Property Purchase,Casinos,UK,1,0,Low,0,9335
Switzerland,868721.79,Offshore Transfer,Construction,China,0,0,Low,9,7186
China,4633505.74,Stocks Transfer,Casinos,UAE,0,1,High,4,1647
UK,2027262.05,Property Purchase,Real Estate,Switzerland,0,1,Low,9,3750
South Africa,2205744.04,Offshore Transfer,Construction,South Africa,0,1,Low,8,2828
Singapore,3597485.05,Offshore Transfer,Casinos,Singapore,1,0,Low,8,9291
Brazil,399661.46,Offshore Transfer,Real Estate,China,0,0,Low,2,5231
Russia,3053747.31,Stocks Transfer,Arms Trade,Switzerland,0,0,Low,1,6031
Singapore,621757.18,Property Purchase,Casinos,China,0,0,Low,5,6068
Switzerland,706440.1,Stocks Transfer,Arms Trade,China,1,0,High,2,8787
Singapore,3608635.08,Property Purchase,Real Estate,Russia,0,0,Low,0,3776
India,2336707.24,Stocks Transfer,Finance,South Africa,0,1,High,3,3495
Singapore,1034222,Cash Withdrawal,Finance,Russia,0,0,Low,5,3519
Singapore,3608225.27,Offshore Transfer,Real Estate,South Africa,1,1,Low,4,5001
Singapore,2690235.55,Property Purchase,Oil & Gas,UK,0,1,High,5,27
UK,848968.93,Cash Withdrawal,Luxury Goods,UK,0,0,Low,2,5632
USA,2720645.63,Offshore Transfer,Construction,South Africa,1,0,High,3,997
China,2682386.31,Cash Withdrawal,Real Estate,Russia,0,0,High,0,9003
Russia,4019924.13,Stocks Transfer,Oil & Gas,Russia,0,1,High,9,2423
Brazil,4804904.55,Stocks Transfer,Real Estate,UAE,0,0,Low,8,6674
Russia,3020179.32,Property Purchase,Casinos,Brazil,0,0,Low,6,6845
China,1972848.25,Cryptocurrency,Construction,Switzerland,1,0,High,9,7901
India,4793221.95,Cryptocurrency,Arms Trade,South Africa,0,0,Low,9,3532
South Africa,2061523.7,Property Purchase,Real Estate,South Africa,0,0,High,1,9921
Singapore,3746944.39,Offshore Transfer,Real Estate,USA,0,1,High,5,1
USA,1240949.69,Cash Withdrawal,Construction,Russia,0,0,High,7,4750
South Africa,2823191.61,Cash Withdrawal,Construction,South Africa,0,0,High,5,7006
India,3609742.06,Property Purchase,Arms Trade,USA,0,0,Low,3,9107
South Africa,2395477.88,Property Purchase,Finance,Russia,1,1,High,8,860
Brazil,4533027.52,Cryptocurrency,Arms Trade,Switzerland,0,1,High,5,7811
USA,1501483.96,Property Purchase,Oil & Gas,Singapore,0,0,High,6,3195
Switzerland,4848604.33,Property Purchase,Finance,USA,0,1,Low,0,6660
Switzerland,132200.99,Cryptocurrency,Finance,USA,0,1,High,3,8666
Russia,1975128.84,Offshore Transfer,Luxury Goods,Switzerland,0,0,Low,5,7648
Singapore,168226.55,Cash Withdrawal,Luxury Goods,Russia,1,1,High,6,3402
Singapore,3809418,Property Purchase,Finance,Switzerland,0,1,High,5,5797
Singapore,2370424.8,Cash Withdrawal,Arms Trade,South Africa,0,1,High,2,3896
South Africa,792350.57,Stocks Transfer,Casinos,China,0,1,High,9,2833
UK,2105599.22,Cash Withdrawal,Casinos,Russia,1,0,High,5,7580
Switzerland,2903289.03,Property Purchase,Real Estate,Singapore,0,0,High,6,1276
China,1441120.58,Offshore Transfer,Real Estate,UAE,1,0,High,1,2439
Singapore,1126695.89,Stocks Transfer,Arms Trade,Brazil,0,0,High,8,8887
UAE,416272.18,Stocks Transfer,Oil & Gas,India,0,1,Low,6,9647
Russia,404582.43,Cash Withdrawal,Oil & Gas,UAE,0,0,High,4,2483
USA,2015270.88,Stocks Transfer,Construction,India,0,0,High,2,4272
Switzerland,1711566.23,Cash Withdrawal,Construction,India,1,0,High,7,7497
Singapore,4137598.62,Cryptocurrency,Casinos,South Africa,0,0,High,5,8952
Brazil,2523263.9,Cash Withdrawal,Finance,Brazil,0,0,High,9,1195
Russia,4658063.73,Cash Withdrawal,Oil & Gas,Switzerland,0,0,Low,9,4792
Russia,4743868.33,Cryptocurrency,Oil & Gas,Switzerland,0,1,High,4,5837
UAE,1389318.11,Offshore Transfer,Casinos,South Africa,0,1,High,1,8545
Brazil,1347744.5,Property Purchase,Casinos,UK,0,0,Low,8,7806
South Africa,1684759.81,Property Purchase,Construction,India,0,0,Low,5,5026
Brazil,194277.78,Cryptocurrency,Luxury Goods,South Africa,1,0,High,5,8590
Russia,4201427.2,Cryptocurrency,Oil & Gas,South Africa,0,1,High,9,2772
South Africa,2569784.35,Stocks Transfer,Arms Trade,UK,0,0,Low,0,1799
India,1779001.07,Property Purchase,Luxury Goods,Singapore,0,0,High,7,5724
UAE,3068237.54,Cryptocurrency,Oil & Gas,India,1,1,Low,8,8660
Switzerland,3293641.6,Property Purchase,Finance,China,1,0,Low,1,9034
India,2905259.58,Offshore Transfer,Casinos,India,0,0,High,5,861
UAE,3606929.56,Stocks Transfer,Construction,Brazil,0,0,High,3,1900
China,3252641.99,Cryptocurrency,Arms Trade,Switzerland,0,0,High,9,6143
Russia,2549936.82,Cash Withdrawal,Finance,South Africa,0,0,High,7,7606
UAE,1218771.47,Stocks Transfer,Oil & Gas,India,1,1,High,1,7364
Singapore,1670266.18,Property Purchase,Arms Trade,South Africa,0,0,High,4,4914
Russia,2105961.23,Cryptocurrency,Finance,Brazil,0,0,High,2,1610
UAE,1125364.8,Property Purchase,Arms Trade,India,0,0,High,1,2810
UAE,1377471.53,Stocks Transfer,Oil & Gas,India,0,0,High,7,4443
Brazil,172604.77,Cash Withdrawal,Oil & Gas,Russia,0,1,High,6,5176
China,4888814.46,Cryptocurrency,Real Estate,USA,0,1,Low,5,7580
Brazil,1072816.89,Property Purchase,Oil & Gas,Russia,0,0,High,6,2157
Singapore,834690.34,Cash Withdrawal,Construction,Switzerland,0,0,High,4,9067
Switzerland,2047772.08,Cash Withdrawal,Construction,Russia,0,0,High,2,9389
USA,4099153.69,Stocks Transfer,Construction,India,0,0,High,4,8843
China,2848474.24,Stocks Transfer,Construction,India,0,0,High,2,2470
UK,1271674.54,Property Purchase,Luxury Goods,India,1,0,High,1,9044
South Africa,2070155.78,Cash Withdrawal,Finance,Russia,0,0,High,8,1944
UAE,1102006.46,Offshore Transfer,Finance,Singapore,0,1,High,2,2645
South Africa,4455464.46,Stocks Transfer,Luxury Goods,China,0,1,Low,2,3999
Switzerland,3682401.22,Cryptocurrency,Casinos,India,0,1,Low,1,9994
China,1867602.38,Cryptocurrency,Construction,India,0,1,High,7,5120
UAE,3698766.51,Property Purchase,Oil & Gas,South Africa,1,0,Low,3,5206
Switzerland,3249808.66,Property Purchase,Finance,Switzerland,0,1,High,5,3220
China,4805578.78,Offshore Transfer,Real Estate,Russia,1,0,High,8,8772
South Africa,1499022.84,Stocks Transfer,Casinos,South Africa,0,0,High,1,5226
USA,2241806.92,Cryptocurrency,Real Estate,Russia,1,0,High,8,6699
Singapore,1726051.64,Stocks Transfer,Casinos,UK,1,0,High,7,5597
Brazil,4812704.22,Cryptocurrency,Oil & Gas,UAE,0,0,High,0,7075
China,2806467.18,Property Purchase,Real Estate,Switzerland,0,0,High,7,4070
China,3693960.53,Cryptocurrency,Real Estate,South Africa,0,0,High,8,9452
China,4658816.02,Property Purchase,Construction,Russia,0,0,High,9,2450
Brazil,4159247.45,Offshore Transfer,Casinos,UK,1,1,Low,9,753
USA,4210484.39,Offshore Transfer,Arms Trade,India,0,1,Low,0,2904
South Africa,4911593.85,Offshore Transfer,Luxury Goods,Russia,0,0,Low,8,472
Singapore,402861.33,Stocks Transfer,Arms Trade,USA,0,1,High,8,3999
South Africa,4641476.86,Stocks Transfer,Real Estate,Brazil,0,0,Low,4,4725
Russia,4986603.71,Property Purchase,Real Estate,South Africa,0,0,Low,2,4615
Singapore,3436484.75,Cash Withdrawal,Luxury Goods,Switzerland,0,0,High,9,4880
Russia,605321.22,Property Purchase,Luxury Goods,Brazil,0,0,High,1,7285
South Africa,3897104.24,Cryptocurrency,Oil & Gas,South Africa,0,1,High,2,2601
China,3491347.77,Stocks Transfer,Casinos,Brazil,0,0,Low,5,4427
Russia,649585.72,Cryptocurrency,Arms Trade,South Africa,1,0,Low,8,9719
India,1733043.62,Stocks Transfer,Construction,India,0,0,High,3,817
China,3741228.36,Cash Withdrawal,Construction,Russia,0,0,High,7,4498
UAE,2575876.21,Cash Withdrawal,Construction,Brazil,0,1,Low,5,3872
South Africa,2307210.72,Offshore Transfer,Real Estate,USA,1,0,Low,5,2957
UAE,1151041.66,Cryptocurrency,Construction,Russia,0,0,High,5,33
South Africa,1133099.57,Offshore Transfer,Luxury Goods,Switzerland,0,0,Low,4,1935
Singapore,2775786.72,Cash Withdrawal,Luxury Goods,India,0,0,High,7,1561
Switzerland,2918340.8,Offshore Transfer,Construction,USA,0,1,High,2,5404
UK,2866106.63,Property Purchase,Luxury Goods,UK,0,1,Low,3,9368
Russia,1610843.74,Cryptocurrency,Construction,Singapore,0,0,High,4,116
Russia,1823857.35,Offshore Transfer,Arms Trade,Singapore,0,0,High,7,5358
Russia,4196377.56,Offshore Transfer,Oil & Gas,UAE,0,1,High,0,1321
Switzerland,3180256.26,Offshore Transfer,Arms Trade,India,0,0,Low,5,4229
Russia,2299021.98,Property Purchase,Construction,Singapore,0,0,High,5,8007
USA,1996672.26,Property Purchase,Real Estate,UAE,0,0,High,1,4007
South Africa,3503164.44,Cash Withdrawal,Finance,Russia,1,0,Low,6,9288
Brazil,3715655.4,Property Purchase,Construction,China,1,0,High,0,6632
Switzerland,2508414.75,Property Purchase,Oil & Gas,UAE,0,0,High,4,7919
Singapore,4264586.28,Cryptocurrency,Construction,China,0,0,High,7,2609
China,3658088.3,Property Purchase,Casinos,USA,0,0,Low,0,7987
Russia,1729445.54,Stocks Transfer,Finance,UK,0,0,High,0,1879
UK,75909.06,Property Purchase,Luxury Goods,China,0,0,Low,6,1418
Brazil,4700775.89,Property Purchase,Finance,Russia,0,1,Low,5,2609
USA,1932492.25,Cryptocurrency,Luxury Goods,Switzerland,1,0,High,4,4182
USA,1157002.2,Cryptocurrency,Arms Trade,India,0,0,High,0,8910
UAE,853854.26,Offshore Transfer,Luxury Goods,UAE,0,1,Low,5,1966
India,1829762,Cryptocurrency,Oil & Gas,Switzerland,0,0,Low,7,5164
UAE,1002535.08,Cash Withdrawal,Oil & Gas,UK,0,0,Low,4,122
UK,1384942.66,Cryptocurrency,Construction,Switzerland,0,0,Low,2,7272
Switzerland,3712319.95,Stocks Transfer,Casinos,South Africa,0,1,Low,6,5449
Russia,3548404.69,Stocks Transfer,Construction,China,0,1,Low,9,9226
UAE,1182828.79,Stocks Transfer,Luxury Goods,India,0,1,High,2,1690
South Africa,1177905.27,Property Purchase,Construction,Switzerland,0,0,High,1,6618
Russia,1883135.8,Cash Withdrawal,Construction,UAE,0,0,High,2,454
Russia,2418690.8,Property Purchase,Real Estate,UAE,0,0,Low,3,7319
UK,4679761.29,Property Purchase,Real Estate,South Africa,1,1,Low,3,2617
USA,1772404.42,Stocks Transfer,Real Estate,Brazil,0,1,High,5,4635
India,664473.8,Offshore Transfer,Casinos,Brazil,0,0,High,5,9789
Switzerland,4667805.66,Offshore Transfer,Oil & Gas,USA,0,0,Low,9,5355
China,1642130.93,Offshore Transfer,Luxury Goods,India,0,0,High,8,6537
South Africa,4152570.38,Cash Withdrawal,Casinos,China,0,0,Low,9,4470
Russia,2406838.97,Stocks Transfer,Finance,USA,1,0,High,2,7955
Brazil,725305.66,Cryptocurrency,Real Estate,UK,0,0,High,0,578
Switzerland,4721184.6,Property Purchase,Finance,China,0,1,High,7,2169
Russia,3499233.73,Cash Withdrawal,Real Estate,Switzerland,0,0,Low,6,2634
Brazil,1183952.53,Property Purchase,Arms Trade,USA,1,1,Low,9,2495
